#,Recipe Name,URL,Servings (fill in),Updated url 
1,Baked Feta with Cherry Tomatoes,https://alexandracooks.com/2022/03/14/baked-feta-with-cherry-tomatoes/,4,https://alexandracooks.com/2021/09/29/baked-feta-with-cherry-tomatoes/
2,Greek Lemon Soup,https://littlespicejar.com/avgolemono-soup/#mv-creation-804-jtr,4,https://www.littlespicejar.com/avgolemono-soup/#wprm-recipe-container-38588
3,Mexican Instant Pot Pinto Beans,https://www.skinnytaste.com/mexican-pinto-beans-with-queso-frijoles-con-todo,8,
4,Cilantro Lime Rice (Chipotle Copycat),https://www.skinnytaste.com/chipotle-cilantro-lime-rice-4-pts,4,
5,Chickpea Mediterranean Salad,https://www.skinnytaste.com/chickpea-salad/#recipe,4,https://www.skinnytaste.com/chickpea-salad/#recipe
6,"Grilled Corn Salad with Feta, Cucumbers, and Red Onion",https://www.saveur.com/recipes/grilled-corn-salad,,remove
7,Chicken Lo Mein,https://www.skinnytaste.com/chicken-lo-mein,4,
8,Slow Roasted Salmon with Salsa Verde,https://wishbonekitchen.com/slow-roasted-salmon-with-citrus-salsa-verde/#google_vignette,4,https://wishbonekitchen.com/slow-roasted-salmon-with-citrus-salsa-verde/
9,Chicken Noodle Casserole,https://www.thecountrycook.net/chicken-noodle-casserole/#recipe,6,https://www.thecountrycook.net/chicken-noodle-casserole/
10,Slow-Roasted Caponata Fish,https://www.thekitchn.com/slow-roasted-fish-caponata-recipe-23415335#post-recipe-364870022,4,https://www.thekitchn.com/slow-roasted-fish-caponata-recipe-23415335
11,Herby Tomato Soup,https://carolinagelen.com/tomato-soup/#recipe,2,https://carolinagelen.com/tomato-soup/
12,Chicken Romano Meatballs,https://www.skinnytaste.com/chicken-romano-meatballs/#recipe,4,https://www.skinnytaste.com/chicken-romano-meatballs/
13,Bacon-Wrapped Air Fryer Chicken Breast,https://www.skinnytaste.com/bacon-wrapped-air-fryer-chicken-breast/,4,
14,Baked Sweet Potato,https://www.loveandlemons.com/baked-sweet-potato/,1,
15,Barbacoa Enchiladas,https://www.gimmesomeoven.com/barbacoa-recipe,8,
16,Beef and Cabbage Stir Fry,https://www.skinnytaste.com/beef-and-cabbage-stir-fry/,4,
17,Pork Shoulder Ragu,https://eye-swoon.com/blogs/eyeswoon-unplugged/eyeswoon-unplugged-pork-shoulder-ragu,6,https://eye-swoon.com/blogs/eyeswoon-unplugged/paccheri-with-pork-shoulder-ragu-and-creamy-goat-cheese
18,Chicken Egg Roll Bowl,https://www.skinnytaste.com/chicken-egg-roll-bowl/,3,
19,Chicken Shawarma Sheet Pan Dinner,https://www.skinnytaste.com/chicken-shawarma-sheet-pan-dinner/,4,
20,Chicken Taco Bowls,https://www.skinnytaste.com/chicken-taco-bowls/,4,
21,Corn Tomato Avocado Salad,https://www.skinnytaste.com/corn-tomato-avocado-salad/,4,
22,Crispy Sesame Tofu,https://minimalistbaker.com/crispy-sesame-tofu-with-sticky-rice/,,Remove
23,Crispy Wild Rice Harvest Salad,https://oliviaadriance.com/crispy-wild-rice-harvest-salad/,4,
24,Fiesta Creamy Corn Chicken,https://www.littlespicejar.com/fiesta-creamy-corn-chicken/,4,
25,Potato Leek Soup,https://www.skinnytaste.com/potato-leek-soup,6,
26,Halibut Florentine,https://www.skinnytaste.com/fish-florentine/#recipe,4,https://www.skinnytaste.com/fish-florentine/
27,Thai Steamed Fish with Coconut Lemongrass Sauce,https://middleeastsector.com/thai-lime-garlic-steamed-fish-with-coconut-lemongrass-sauce/#wpzoom-premium-recipe-card,,
28,Mapo Tofu,https://omnivorescookbook.com/mapo-tofu/,2,https://omnivorescookbook.com/authentic-mapo-tofu/
29,Parmesan-Herb Baked Salmon,https://www.skinnytaste.com/parmesan-herb-baked-salmon/,6,
30,Pasta Fresca,https://www.gimmesomeoven.com/pasta-fresca/,3,
31,Perfect Pan-Roasted Salmon,https://thedefineddish.com/perfect-pan-roasted-salmon/,2,
32,Braised Halibut,https://chatelaine.com/recipe/stovetop-cooking-method/chraime/,6,
33,Garlic Caper Lamb Chop With Tomato Burrata Peach Salad,https://www.foodandwine.com/recipes/double-cut-lamb-chops-with-garlic-caper-rub,4,
34,"Grilled White Fish With a Tomato, Corn, and Basil Salad",https://eye-swoon.com/blogs/eyeswoon-unplugged/grilled-summer-fish,4,
35,"Pan-Seared Salmon with Peas, Chanterelles and Dill-Chive Sauce",https://eye-swoon.com/recipes/pan-seared-salmon-with-peas-chanterelles-and-dill-chive-sauce,4,
36,Vietnamese Pickled Carrot and Daikon,https://www.simplyrecipes.com/recipes/vietnamese_daikon_and_carrot_pickles,5,
37,Belgian Ale-Braised Pot Roast,https://www.foodandwine.com/recipes/belgian-ale-braised-pot-roast-melted-kale-and-onions,6,
38,Vegan Bang Bang Tofu,https://www.thissavoryvegan.com/vegan-bang-bang-tofu,4,
39,Veal Saltimbocca,https://www.saveur.com/this-old-school-veal-saltimbocca-is-worth-mastering/,,remove
40,Turkey Stuffed Peppers,https://www.skinnytaste.com/turkey-stuffed-peppers-45-pts,6,
41,Chicken Sausage Lasagna Soup,https://littlespicejar.com/warm-comforting-lasagna-soup,4,
42,"Sausage, Potato and Kale Soup",https://www.allrecipes.com/recipe/231287/sausage-potato-and-kale-soup,4,
43,Roasted Root Vegetables with Jalapeno Yogurt Sauce,https://thefirstmess.com/2020/04/15/grounding-roasted-roots-herbed-jalapeno-yogurt-sauce-recipe/#recipe,4,https://thefirstmess.com/2020/04/15/grounding-roasted-roots-herbed-jalapeno-yogurt-sauce-recipe/
44,Sheet Pan Sesame Chicken and Vegetables,https://www.ambitiouskitchen.com/sheet-pan-sesame-chicken,4,
,,,,
,👆 Yellow cells = fill in the serving count from the recipe page,,,
