recipe_id,recipe_name,status,ingredients_counted,ingredients_matched,match_rate_pct,open_review_items
Lz8PUuNwzGk5t4ORcCGo,Homemade Pita Bread,needs_review,6,5,83,0
creamy-pasta-salmon-asparagus,Creamy Salmon Pasta with Asparagus,needs_review,8,7,88,0
JB42V5lODM4UIJCCy83k,Spiced Carrots,needs_review,9,8,89,0
2014-03-12-chicken-with-preserved-lemons-green-olives,Chicken with Preserved Lemons and Green Olives,needs_review,12,11,92,0
crustless-quiche-with-smoked-salmon,Crustless Quiche with Salmon,needs_review,13,12,92,0
recipes-pan-seared-salmon-with-peas-chanterelles-and-dill-chive-sauce,"Pan-Seared Salmon with Peas, Chanterelles and Dill-Chive Sauce",needs_review,14,13,93,0
cQpD9e7GUKSuRTNz3naW,Sticky Grapefruit Miso Salmon,needs_review,16,15,94,0
coconut-rice,Coconut Curried Rice Bowl,needs_review,21,20,95,0
kekxJgUL0qTC6msTuguD,BBQ Salmon Tacos,needs_review,20,19,95,0
TlFzaPFUulKG7g2jXHD5,Cuban Mojo Bowl,needs_review,27,26,96,0
italian-wedding-soup,Italian Wedding Soup,needs_review,24,23,96,0
0DYjHr8SpRhISppq03MB,Spicy Zhoug Sauce,approved,9,9,100,0
0J5EouhsqixS0bwNCQpG,Peperoncino-Feta Turkey Meatballs,approved,19,19,100,0
0LRkhK64aTny5ygHpZr3,Citrus Glazed Pork Chops with Gingery Bok Choy,approved,11,11,100,0
0V1nI8Ac7Or0vjqfVGv3,Potato and Carrot Mash,approved,4,4,100,0
0XFFe7iOgmPHOBzU0yLh,"Chicken With Tomatoes, Pancetta and Mozzarella",approved,11,11,100,0
0oQAts0rnkglkZdZ5SCJ,Beef and Broccoli,approved,12,12,100,0
0q7fx35evMTTr8VhyVgi,Grilled Salmon with Acorn Squash and Herbed Butter,approved,12,12,100,0
0whIusZsMGeyDLJzmpnY,Baked Chicken Thighs,approved,18,18,100,0
0zmPQSzevbvXznpELs21,Mashed Purple Sweet Potato,approved,3,3,100,0
1-pot-everyday-lentil-soup,1-Pot Vegan Lentil Soup,approved,15,15,100,0
1-pot-golden-curry-lentil-soup,1-Pot Golden Curry Lentil Soup,approved,14,14,100,0
1-pot-lentil-dal,1-Pot Lentil Green Curry,approved,16,16,100,0
10-minute-crazy-good-italian-chopped-salad,10 Minute Crazy Good Italian Chopped Salad,approved,15,15,100,0
149-moms-oven-poached-salmon,Lemon Dill Baked Salmon,approved,6,6,100,0
15-minute-ground-beef-stir-fry,15-Minute Ground Beef Stir Fry,approved,19,19,100,0
15-minute-pad-thai,Tofu Pad Thai,approved,13,13,100,0
1Lqkj42P66K2zy4uMncB,Chicken Pozole Verde,approved,21,21,100,0
1RsQWRKk2fh71b6UwvlQ,Spicy Sesame Butter Chicken,needs_review,21,21,100,0
1Ysypi3acarqsJcvU3xL,Chicken Fajitas,needs_review,19,19,100,0
2013-01-14-an-oldie-but-a-goodie-honey-baked-chicken-legs,Honey Mustard Baked Chicken Legs,needs_review,7,7,100,0
2013-10-24-ina-gartens-mustard-roasted-chicken,Ina Garten's Mustard-Roasted Chicken,needs_review,10,10,100,0
2014-11-18-genius-chicken-lemon-canal-house,Simple Crispy Chicken Thighs,needs_review,4,4,100,0
2016-07-14-fish-sauce-nicoise,Pan-Seared Cod with Sauce Niçoise,needs_review,10,10,100,0
2018-02-01-roast-chicken-and-shallots-with-mustard-white-wine-and-thyme,"One-Pan Roast Chicken with Shallots, Mustard and White Wine",needs_review,7,7,100,0
2018-03-sheet-pan-salmon-brussels,Sheet Pan Salmon with Honey Garlic & Brussels Sprouts,needs_review,8,8,100,0
2018-07-09-creamy-one-pot-pasta-with-smoked-salmon-and-asparagus,Creamy One-Pot Pasta With Smoked Salmon and Asparagus,needs_review,12,12,100,0
2019-02-06-mushroom-beet-bolognese-vegan-recipe,Mushroom and Beet Bolognese,needs_review,16,16,100,0
2019-10-sweet-potato-chowder,Sweet Potato Chowder,needs_review,15,15,100,0
2020-04-23-simple-salmon-dinner-with-roasted-carrots,Simple Salmon Dinner with Roasted Carrots,needs_review,12,12,100,0
2020-05-18-garlicky-grilled-chicken-with-paprika-butter,Garlicky Grilled Chicken with Paprika Butter,needs_review,11,11,100,0
2020-12-20-pan-roasted-shrimp-with-paprika-lemon-butter-sauce,Pan-Roasted Shrimp with Paprika Lemon Butter Sauce,needs_review,13,13,100,0
2021-03-08-pan-roasted-ribeye-with-parsley-butter,Pan-Roasted Ribeye with Parsley Butter,needs_review,10,10,100,0
2021-05-03-sheet-pan-salmon-with-moroccan-apricot-glaze,Sheet Pan Salmon with Moroccan Apricot Glaze,needs_review,9,9,100,0
2022-01-05-vegan-creamy-cauliflower-sweet-potato-chowder,Creamy Cauliflower & Sweet Potato Chowder,needs_review,24,24,100,0
2022-03-14-baked-feta-with-cherry-tomatoes,Baked Feta with Cherry Tomatoes,needs_review,10,10,100,0
2022-08-17-blackberry-glazed-tofu-black-pepper-chili,Blackberry Glazed Tofu Bowl,needs_review,11,11,100,0
2022-11-02-kale-arugula-butter-bean-salad-mustard-tahini,Kale Arugula Butter Bean Salad,needs_review,17,17,100,0
2023-02-05-harissa-meatballs-with-fregola-and-lemony-yogurt,Harissa Meatballs with Fregola and Lemony Yogurt,needs_review,16,16,100,0
2023-03-01-pizza-night-salad,Pizza Night Salad,needs_review,19,19,100,0
2023-04-05-lemony-shaved-fennel-asparagus-salad,Lemony Shaved Fennel Asparagus Salad,needs_review,14,14,100,0
2023-08-16-smoky-vegan-corn-chowder-with-potatoes,Smoky Vegan Corn Chowder with Potatoes,needs_review,16,16,100,0
2023-08-21-slow-roasted-tomato-and-chickpea-pasta,Slow Roasted Tomato and Chickpea Pasta,needs_review,11,11,100,0
2023-09-13-spicy-maple-tofu-bowls-golden-garlic-rice,Maple Tofu Bowl with Golden Rice,needs_review,16,16,100,0
2024-05-crispy-bruschetta-chicken,Crispy Bruschetta Chicken,needs_review,14,14,100,0
2024-06-08-pesto-pasta-salad-with-grilled-chicken-asparagus,Pesto Pasta Salad with Grilled Chicken & Asparagus,needs_review,18,18,100,0
2025-03-28-spicy-maple-glazed-chicken-with-cheddar-polenta,Spicy Maple Glazed Chicken with Cheddar Polenta,needs_review,17,17,100,0
24xp2T4uwX3fLhhNOBuE,Crunchy Brussels Sprout Salad,needs_review,18,18,100,0
25-minute-kung-pao-chicken,Kung Pao Chicken,needs_review,17,17,100,0
2D35EhnYfQkSXgdqozTt,Easy Refrigerator Pickles Recipe,needs_review,10,10,100,0
2FM6MyeEHJTBkXdFqy45,Scalloped Potatoes Recipe,needs_review,12,12,100,0
2RTxTV52wYdfikur0ENs,Marry Me Chicken Pasta,needs_review,14,14,100,0
2cCrQAUp7sLNVil2cekd,Green Minestrone Soup,needs_review,16,16,100,0
2eFlgjAW2IDqgKKZY2jt,Stewed Lentils,needs_review,20,20,100,0
2fa1Ac9sVKhEYl4zmCHr,Copycat Erewhon Cabbage Slaw,needs_review,10,10,100,0
2kGOR4OqUrjAKi7EtqHz,Fennel Apple Salad,needs_review,13,13,100,0
2ndhEfd8JNZUyk9fTxvG,Quick Aioli,needs_review,2,2,100,0
2pcbbJ0uf6LO8EBySczS,Fettuccine with Smoked Salmon and Dill Cream Sauce,needs_review,10,10,100,0
2w28a6fg4VflnRPtrYcA,Air Fryer Baked Sweet Potato,needs_review,1,1,100,0
30-minute-garlic-ginger-salmon-dinner,30-Minute Garlic-Ginger Salmon Dinner,needs_review,12,12,100,0
30-minute-mozzarella-chicken,30 Minute Mozzarella Chicken in Tomato Sauce,needs_review,13,13,100,0
32IrdCyyUADxjnahjUEV,Salmon Burgers,needs_review,17,17,100,0
32yT7qRGVEujMFtcXwoZ,Dijon Roasted Vegetables,needs_review,11,11,100,0
3N7Iq3VRBlgBR8VgFL1G,Guacamole,needs_review,8,8,100,0
3UClvsLLEJy6e5pLl4CI,Easy Air Fryer Broccoli,needs_review,3,3,100,1
3XeOn1mKgskygFOxG5KS,Lemony Chicken Soup With Fennel and Dill,needs_review,15,15,100,0
3Z7DJda4nxCe5ma88X1q,Parmesan Herb Roasted Acorn Squash,needs_review,8,8,100,0
3sBasFITU2KWQZHaFd4c,Greek Lemon Soup,needs_review,13,13,100,0
3zsm5VhJUmRqbQtRoGMS,Glazed Pork Rice Bowls,needs_review,15,15,100,0
42V4svWWuiglVnacrK2l,Soy Sauce Fried Rice,needs_review,8,8,100,0
47owkoJcdwyclnwwNrhk,How To Make Caesar Salad,needs_review,18,18,100,0
4FcTH8Qj1xzFH4zSfPzk,Street Corn Chicken Enchiladas,needs_review,19,19,100,0
4SamqXyoAgUjnPSKkP0V,Mason Jar Salad,needs_review,10,10,100,0
4TXl1zTCK1uoZv0K0muJ,Roasted Maple Ginger Kabocha Squash,needs_review,6,6,100,0
4V59axXu1Y9GaJiUzSOS,Grilled Broccolini,needs_review,5,5,100,0
4VvbLdH9jtwy7I26J9lj,Chili Mango Zesty Quinoa Salad,needs_review,9,9,100,0
4dseo7DdJuv5wlpgyFZs,Balsamic-Red Wine Roasted Chicken Thighs and Vegetables,needs_review,11,11,100,0
59efcJLQDifyVRfBq9Je,Curry Roasted Cauliflower Sweet Potato Salad,needs_review,21,21,100,0
5ArmVAPPAJDwnI4P2tCv,Vegetable Low Mein,needs_review,15,15,100,0
5BeZmG0gsGsJdLcrinle,Osso Bucco,needs_review,18,18,100,0
5FERA93fDPNPXq9LhJe7,Mexican Instant Pot Pinto Beans,needs_review,19,19,100,0
5cs0zaZZ0ocPRyq2W582,Butternut Squash Sausage and Tortellini Soup,needs_review,17,17,100,0
5j8qzT30GDgaB3FNA6DG,Mediterranean Tuna Salad,needs_review,16,16,100,0
5jw3dmY8vO7JdyqLDpOc,Italian Wild Rice,needs_review,8,8,100,0
5twRgGX6CBwTYI0d56Th,Creamy Polenta,needs_review,3,3,100,0
604QcPBtmGeBToRgtVGm,Papa a la Huancaina,needs_review,13,13,100,0
65P8JPEunxhVgFV6JPHC,Asian Cucumber Salad,needs_review,9,9,100,0
6PXj0FqlBjufSl67CLBf,Edamame,needs_review,3,3,100,0
6XFPymuTKCk45djsG386,Green Chicken Chili Soup,needs_review,16,16,100,0
6a5wsEGhsz8D4FXnllsR,Authentic Chicken Stir Fry,needs_review,26,26,100,0
6cgQeMFtwjDDzIbdc9Py,Parmesan and Herb Orzo,needs_review,7,7,100,0
6qxrLm0j2o9PEVBmk4Wc,Parmesan Roasted Cauliflower,needs_review,9,9,100,0
6ylxQbPzISsNWCIzsmaY,Homemade Scalloped Potatoes with Cheese,needs_review,12,12,100,0
7R8bg1XRZsGAyOn36b9f,Red Enchilada Sauce,needs_review,7,7,100,0
7ofDTj0fFsUkueEIjmyW,Crispy Sweet Potato Fries,needs_review,6,6,100,0
7rVgYpu2kOuGbA42dNud,Cacio E Peppe White Bean Soup,needs_review,12,12,100,0
8-ingredient-zucchini-lasagna-gf,Zucchini Lasagna with Vegan Ricotta,needs_review,11,11,100,0
82p4yG5jTQ6yuWiMfEj4,Cilantro Lime Rice (Chipotle Copycat),needs_review,6,6,100,0
84Lz3tBqevcjtcrtRpUL,Chinese 4-Ingredient Fried Cabbage,needs_review,6,6,100,0
8BocSP8rTcVcCs1sT0nt,Apple Cider Braised Pork Shoulder,needs_review,13,13,100,0
8FGlsn3MdRmZfrAAGUit,Halibut with Citrus and Smashed Olives,needs_review,10,10,100,0
8JnhfKajq5huU8ESJyZl,Beef Shawarma,needs_review,17,17,100,0
8MFjQOSjqdwiEyEcs2bF,Roasted Broccoli Salad,needs_review,13,13,100,0
8Ov9k0ScuCxTO2YEU1Dx,Tahdig Rice,needs_review,6,6,100,0
8QPEVSBKpsMrZWwVHgrX,Honey Garlic Chicken,needs_review,14,14,100,0
8Um7RfEOSz7Dvy01XRx2,Autumn Harvest Honeycrisp Apple And Feta Salad,needs_review,19,19,100,0
8WE8yNHkozzrFV9LWIJg,Moroccan Halibut,needs_review,15,15,100,0
8inXTYmXEgpOkSmm2rt0,Roasted Spaghetti Squash,needs_review,3,3,100,0
8odqH3JiSPeeiBcnYh6E,Golden Coconut Broth Bowl with Crispy Tofu,needs_review,18,18,100,0
97FGxl8pyNohYfVKedAf,Roasted Brussels Sprouts with Balsamic Vinegar and Honey,needs_review,6,6,100,0
9CH1EeVM9yEGzGQDWEWI,Instant Pot Refried Beans,needs_review,9,9,100,0
9DPwRSd2vhMYfhdjWKth,Salmon Garlic Chili Bowl,needs_review,18,18,100,0
9JiQG5J6xr4nTP01gOQz,Creamy Gochujang Potato Salad,needs_review,7,7,100,0
9LppJSc4a2ZbWHSaUDyw,Chicken Taco Bowl,needs_review,19,19,100,0
9SxUbOeDwQhdm4lTH3y3,Garlic Herb Mashed Potatoes,needs_review,10,10,100,0
9a8tZhMNWSRYLXbaw8v8,Dijon and Cognac Beef Stew,needs_review,13,13,100,0
9eCc8bvAHJbEaY3UFmAY,How to Grill Salmon,needs_review,1,1,100,0
9ezL2S7skLI5sH8lZDJH,Spicy Southern Shrimp,needs_review,14,14,100,0
9fDfEMPh0U2HCWiU2JFI,Turmeric Black Pepper Chicken,needs_review,10,10,100,0
9nrYBGhK1ywQX7Z5loez,Pomegranate Chicken,needs_review,10,10,100,0
9qgrZmIZkKyPEg4KfFBl,Spinach Artichoke Dip,needs_review,17,17,100,0
AEPjJvQcSOXUImY6ltqZ,Curried Rice,needs_review,17,17,100,0
AHvrcmHI9J5hOyAQjhGr,Buffalo Chicken Pasta,needs_review,15,15,100,0
APXRSgd12sIMlCVkX8bP,Coconut and Lemongrass Steak Skewers,needs_review,16,16,100,0
AQF2bHCfBo4kPHxrb7x8,Salmon Burgers,needs_review,19,19,100,0
ARBvD0ofhiWgfLLCeKRx,Hot Honey Salmon Bowl,needs_review,21,21,100,0
AbTkhJy3lf3o7P1tRmAu,Chickpea Mediterranean Salad,needs_review,7,7,100,0
AeEXqIyTerPRDI2FZoCK,Broccoli Crunch Salad,needs_review,14,14,100,0
Agn2WIa4HO4U9l1tIDvy,French Celery Root Mashed Potatoes,needs_review,9,9,100,0
AlQzscljcykbe8ivuAtG,How To Make Homemade Croutons,needs_review,6,6,100,0
B2u8nv9MiSuQwcsST9tz,Side Salad For Pizza,needs_review,20,20,100,0
B5JS7rbmSLeIAgvPG5uF,Moroccan Cauliflower With Tahini Honey 5 Ingredients,needs_review,9,9,100,0
BM1TtCA2VFdBm9hMjldV,Cauliflower Rice Blend,needs_review,6,6,100,0
BldNxkQmcwFe0H9FhFf2,Quinoa Southwest Salad,needs_review,22,22,100,0
BwfHxK0YvdsIh0Whdz3I,Honey Lemon Chicken,needs_review,14,14,100,0
C4y3NeM0R4nNAaEetKPi,Persian Kebab (Koobideh),needs_review,14,14,100,0
CDtdopJ9lckWJpWbVXBu,Pan con Tomate,needs_review,6,6,100,0
CWL9NFHzftsPqWxLCXfk,Healthy Chicken Salad Recipe,needs_review,12,12,100,0
CkML2bKo3jwvEE3A74OE,Cauliflower Salad,needs_review,10,10,100,0
CytlQaZbrOsqZdTs6UyU,Cottage Pie,needs_review,22,22,100,0
DAo8R5SqWWX5HcWQdYbJ,Black Rice Pilaf,needs_review,15,15,100,0
DB5nRM690pKjumokuM84,Blackened Fish Tacos,needs_review,26,26,100,0
DJs6N2XEej50w5386Xdt,Easy Fried Cabbage,needs_review,6,6,100,0
DYfqrixJ2O696tuMmLn3,Cheesey Broccoli White Rice,needs_review,10,10,100,0
DbFql7azPz06cFeWoW0V,Fattoush Salad,needs_review,17,17,100,0
DmCwDeJEkCI865F0WhbF,"Rosemary, Potato, Cauliflower Soup",needs_review,15,15,100,0
DoPBaWVLaCRjMTdMmWkg,Tamale Casserole,needs_review,10,10,100,0
E2nJPYga9KYFRmVxTjw1,Butter Lettuce Salad,needs_review,9,9,100,0
E6XX2dmDPOl0P7LrBwaY,Sesame Salmon Bowl,needs_review,19,19,100,0
E8Ne6mNsLsrSb6SAmW9P,Turkey Shepards Pie,needs_review,19,19,100,0
E8YrN5DhKGErVsEGJnSC,Pomegranate-Braised Pot Roast,needs_review,19,19,100,0
EH7ZjPZ8zViUgS7Rb2dH,Brussels Sprouts Gratin,needs_review,14,14,100,0
EJKabCBS7V4FjOvWgeKk,Better Than Takeout Broccoli,needs_review,13,13,100,0
EPbkCAEmZn6fxcGr7qnH,Butcher's Steak with Leafy Greens Salsa,needs_review,11,11,100,0
EZaPqRHFkNsmkyqezaTs,Baked Potato,needs_review,4,4,100,0
Eba4QeZv6gzmkGSr83h0,Creamy Pesto Chicken Pasta,needs_review,13,13,100,0
EhzZLumjhhze5w2nF1fk,Air Fryer Sweet Potatoes,needs_review,10,10,100,0
FCJ7uamskHkxG2y3cbkG,Instant Pot Mexican Rice,needs_review,17,17,100,0
FKY5ohKBQt8H68nqki3s,Shrimp Enchiladas with Creamy Poblano Sauce,needs_review,17,17,100,0
FNkWcAvSjISujHYAoqFq,Chicken in Butternut Squash Mushroom Cream Sauce,needs_review,16,16,100,0
FbCwH0SGW8bF2GIQnyXo,Honey Mustard Chicken with Peaches,needs_review,17,17,100,0
