Recipe Title,URL,Blogger Name,Alignment Score,Meal Type,Cuisine Style,Rating,Notes,V,V Mod,V Mod Notes,Vg,Vg Mod,Vg Mod Notes,GF,GF Mod,GF Mod Notes,DF,DF Mod,DF Mod Notes,LH,LH Mod,LH Mod Notes,LF,LF Mod,LF Mod Notes,AIP,AIP Mod,AIP Mod Notes,K,K Mod,K Mod Notes,Protein,Entree Type
Carne Asada Tacos,https://www.acozykitchen.com/carne-asada-tacos,A Cozy Kitchen,97.0,Entree,Latin/South American,5.0 (6 ratings),"Skirt steak marinated in lime, spices & garlic; cross-protein swap potential",0,0,,0,0,,0,0,,1,0,,0,0,,0,0,,0,0,,0,0,,Beef,Tacos/Wraps
Ground Beef Tacos,https://www.acozykitchen.com/ground-beef-tacos,A Cozy Kitchen,97.0,Entree,Latin/South American,5.0 (6 ratings),Homemade crunchy taco shells; easy weeknight,0,0,,0,0,,0,0,,1,0,,0,0,,0,0,,0,0,,0,0,,Beef,Tacos/Wraps
Enchilada Chicken Tortilla Soup,https://www.acozykitchen.com/enchilada-chicken-tortilla-soup,A Cozy Kitchen,97.0,Entree,Latin/South American,5.0 (2 ratings),One-pot; topped with crispy tortilla strips,0,0,,0,0,,0,0,,1,0,,0,0,,0,0,,0,0,,0,0,,Chicken,Tacos/Wraps
One-Pan Chicken Orzo,https://www.acozykitchen.com/one-pan-chicken-orzo,A Cozy Kitchen,97.0,Entree,American,4.7 (27 ratings),"Lemon flavored, spinach & parmesan; under 30 min",,,,,,,,,,,1,Replace butter with olive oil. Use full-fat coconut cream instead of heavy cream. omit or replace cheese with a dairy-free alternative.,,,,,1,Replace garlic and onion with garlic-infused oil.,,,,,,,Chicken,Pasta
Chicken Fajitas with Tomatillo Guacamole,https://www.acozykitchen.com/chicken-fajitas-guacamole,A Cozy Kitchen,97.0,Entree,Latin/South American,NR,Peppers & onions; guacamole variant,0,0,,0,0,,1,0,,1,0,,0,0,,0,0,,0,0,,0,0,,Chicken,Tacos/Wraps
Birria Ramen,https://www.acozykitchen.com/birria-ramen,A Cozy Kitchen,97.0,Entree,Latin/South American,5.0 (1 rating),Mexican-Japanese fusion; beef birria in ramen broth,0,0,,0,0,,0,0,,1,0,,0,0,,0,0,,0,0,,0,0,,Beef,Noodles
Hot Honey Buffalo Chicken Tenders,https://www.acozykitchen.com/hot-honey-buffalo-chicken-tenders,A Cozy Kitchen,97.0,Entree,American,NR,Cornflake crust; baked not fried,0,0,,0,0,,0,0,,1,0,,0,0,,0,0,,0,0,,0,0,,Chicken,Entree
Pastina,https://www.acozykitchen.com/pastina,A Cozy Kitchen,97.0,Entree,Italian,5.0 (3 ratings),5-ingredient Italian comfort food; vegetarian,0,0,,1,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,Pasta,Entree
Lemon Pepper Wings,https://www.acozykitchen.com/lemon-pepper-wings,A Cozy Kitchen,97.0,Entree,American,3.6 (73 ratings),Crispy baked; buttery lemon sauce,,,,,,,,1,Use GF breadcrumbs or almond flour.,,1,Replace butter with olive oil. Use a plant-based milk. Use a dairy-free sour cream.,,,,,1,Replace garlic and onion with garlic-infused oil.,,,,1,,,Chicken,Entree
Spicy Miso Ramen,https://dishingouthealth.com/spicy-miso-ramen/,Dishing Out Health,95.0,Entree,Asian,4.95 (123 ratings),"Umami-rich broth, shiitake mushrooms; vegetarian adaptable",,,,,,,,,,1,,,,,,,1,Replace garlic and onion with garlic-infused oil.,,,,,,,Pasta,Noodles
