Recipe Name,URL,Servings (fill in)
"Baked Feta with Cherry Tomatoes","https://alexandracooks.com/2022/03/14/baked-feta-with-cherry-tomatoes/",
"Greek Lemon Soup","https://littlespicejar.com/avgolemono-soup/#mv-creation-804-jtr",
"Mexican Instant Pot Pinto Beans","https://www.skinnytaste.com/mexican-pinto-beans-with-queso-frijoles-con-todo",
"Cilantro Lime Rice (Chipotle Copycat)","https://www.skinnytaste.com/chipotle-cilantro-lime-rice-4-pts",
"Chickpea Mediterranean Salad","https://www.skinnytaste.com/chickpea-salad/#recipe",
"Grilled Corn Salad with Feta; Cucumbers; and Red Onion","https://www.saveur.com/recipes/grilled-corn-salad",
"Chicken Lo Mein","https://www.skinnytaste.com/chicken-lo-mein",
"Slow Roasted Salmon with Salsa Verde","https://wishbonekitchen.com/slow-roasted-salmon-with-citrus-salsa-verde/#google_vignette",
"Chicken Noodle Casserole","https://www.thecountrycook.net/chicken-noodle-casserole/#recipe",
"Slow-Roasted Caponata Fish","https://www.thekitchn.com/slow-roasted-fish-caponata-recipe-23415335#post-recipe-364870022",
"Herby Tomato Soup","https://carolinagelen.com/tomato-soup/#recipe",
"Chicken Romano Meatballs","https://www.skinnytaste.com/chicken-romano-meatballs/#recipe",
"Bacon-Wrapped Air Fryer Chicken Breast","https://www.skinnytaste.com/bacon-wrapped-air-fryer-chicken-breast/",
"Baked Sweet Potato","https://www.loveandlemons.com/baked-sweet-potato/",
"Barbacoa Enchiladas","https://www.gimmesomeoven.com/barbacoa-recipe",
"Beef and Cabbage Stir Fry","https://www.skinnytaste.com/beef-and-cabbage-stir-fry/",
"Pork Shoulder Ragu","https://eye-swoon.com/blogs/eyeswoon-unplugged/eyeswoon-unplugged-pork-shoulder-ragu",
"Chicken Egg Roll Bowl","https://www.skinnytaste.com/chicken-egg-roll-bowl/",
"Chicken Shawarma Sheet Pan Dinner","https://www.skinnytaste.com/chicken-shawarma-sheet-pan-dinner/",
"Chicken Taco Bowls","https://www.skinnytaste.com/chicken-taco-bowls/",
"Corn Tomato Avocado Salad","https://www.skinnytaste.com/corn-tomato-avocado-salad/",
"Crispy Sesame Tofu","https://minimalistbaker.com/crispy-sesame-tofu-with-sticky-rice/",
"Crispy Wild Rice Harvest Salad","https://oliviaadriance.com/crispy-wild-rice-harvest-salad/",
"Fiesta Creamy Corn Chicken","https://www.littlespicejar.com/fiesta-creamy-corn-chicken/",
"Potato Leek Soup","https://www.skinnytaste.com/potato-leek-soup",
"Halibut Florentine","https://www.skinnytaste.com/fish-florentine/#recipe",
"Thai Steamed Fish with Coconut Lemongrass Sauce","https://middleeastsector.com/thai-lime-garlic-steamed-fish-with-coconut-lemongrass-sauce/#wpzoom-premium-recipe-card",
"Mapo Tofu","https://omnivorescookbook.com/mapo-tofu/",
"Parmesan-Herb Baked Salmon","https://www.skinnytaste.com/parmesan-herb-baked-salmon/",
"Pasta Fresca","https://www.gimmesomeoven.com/pasta-fresca/",
"Perfect Pan-Roasted Salmon","https://thedefineddish.com/perfect-pan-roasted-salmon/",
"Braised Halibut","https://chatelaine.com/recipe/stovetop-cooking-method/chraime/",
"Garlic Caper Lamb Chop With Tomato Burrata Peach Salad","https://www.foodandwine.com/recipes/double-cut-lamb-chops-with-garlic-caper-rub",
"Grilled White Fish With a Tomato; Corn; and Basil Salad","https://eye-swoon.com/blogs/eyeswoon-unplugged/grilled-summer-fish",
"Pan-Seared Salmon with Peas; Chanterelles and Dill-Chive Sauce","https://eye-swoon.com/recipes/pan-seared-salmon-with-peas-chanterelles-and-dill-chive-sauce",
"Vietnamese Pickled Carrot and Daikon","https://www.simplyrecipes.com/recipes/vietnamese_daikon_and_carrot_pickles",
"Belgian Ale-Braised Pot Roast","https://www.foodandwine.com/recipes/belgian-ale-braised-pot-roast-melted-kale-and-onions",
"Vegan Bang Bang Tofu","https://www.thissavoryvegan.com/vegan-bang-bang-tofu",
"Veal Saltimbocca","https://www.saveur.com/this-old-school-veal-saltimbocca-is-worth-mastering/",
"Turkey Stuffed Peppers","https://www.skinnytaste.com/turkey-stuffed-peppers-45-pts",
"Chicken Sausage Lasagna Soup","https://littlespicejar.com/warm-comforting-lasagna-soup",
"Sausage; Potato and Kale Soup","https://www.allrecipes.com/recipe/231287/sausage-potato-and-kale-soup",
"Roasted Root Vegetables with Jalapeno Yogurt Sauce","https://thefirstmess.com/2020/04/15/grounding-roasted-roots-herbed-jalapeno-yogurt-sauce-recipe/#recipe",
"Sheet Pan Sesame Chicken and Vegetables","https://www.ambitiouskitchen.com/sheet-pan-sesame-chicken",
