"ingredient_name","frequency","example_raw"
"water","54","2 cups water"
"cup water","48","1/2 cup hot water"
"green onions","37","green onions"
"carrots","34","2  medium carrots (, peeled and cut into 4 x 0.75cm / 1.75 x 1/3"" batons)"
"shallots","30","4 shallots, peeled and quartered"
"chili flakes","19","1 teaspoons chili flakes"
"persian cucumbers","16","4  Persian Cucumbers (chopped; this is optional, but highly recommended)"
"cup carrots","13","½ cup chopped carrots"
"lemons","13","2  lemons, (zested and juiced)"
"yellow onions","11","2 yellow onions, divided"
"cup green onions","11","1/2 cup green onions"
"cup chives","10","¼ cup chopped chives"
"yukon gold potatoes","10","4 pounds yukon gold potatoes, peeled and quartered"
"tbsp water","9","2 tbsp water"
"cup peas","9","⅔ cup thawed frozen peas (just let them sit in warm water for a bit)"
"can tomatoes","9","1 can (14 oz) crushed tomatoes"
"cup onions","8","½ cup chopped onions"
"cup shallots","8","1 cup thinly sliced shallots"
"jalapeno","7","½  fresh jalapeno, (seeds removed for less spicy option)"
"oil","7","2 tablespoons oil"
"cup tomatoes","6","3/4 Cup Diced Tomatoes"
"cup filtered water","6","¾ cup filtered water"
"cup sun tomatoes","6","1/4 cup finely chopped sun dried tomatoes"
"cucumbers","6","2 cups cucumbers (diced)"
"russet potatoes","6","4 russet potatoes"
"carrots )","5","4 large carrots ((thinly sliced))"
"teaspoon chili flakes","5","½ teaspoon chili flakes"
"ounce can tomatoes","5","14 ounce can crushed tomatoes"
"tablespoon chives","5","1 tablespoon minced chives"
"cup cranberries","5","⅓ cup dried cranberries (or dried cherries)"
"tablespoon water","5","2 tablespoon water"
"tsp chilli flakes","5","1/2 tsp chilli flakes"
"potatoes","5","1½ pounds potatoes (peeled weight)"
"cup sun-dried tomatoes","5","1/2 cup chopped sun-dried tomatoes"
"cup water )","4","1/4 cup water ((or sub half the amount in oil))"
"lemons, juiced","4","2 lemons, juiced"
"cup red onions","4","⅓ cup pickled red onions, chopped"
"cup sauce","4","¼ cup hot sauce ($0.52**)"
"-3 tablespoons sauce","4","2-3 tablespoons hot sauce"
"cup jalapeños","4","⅓ cup pickled jalapeños, (micro-chopped)"
"shallots )","3","2 small shallots ((optional // or 1/2 white onion as recipe is written // diced))"
"tbsp chives","3","1 tbsp minced chives"
"romaine hearts","3","2 romaine hearts, finely shredded"
"jar sun-dried tomatoes","3","1 (7-ounce) jar sun-dried tomatoes, drained and roughly chopped"
"mashed potatoes","3","Mashed Potatoes"
"oil )","3","2 Tablespoons oil  ((I use canola or olive oil))"
"juice of 2 lemons","3","juice of 2 lemons"
"cup matchstick carrots","3","1 cup matchstick carrots"
"-6 radishes","3","4-6  Radishes (- Sliced into rounds of half moons)"
"tsp. chaat masala","3","1 tsp. chaat masala"
"english cucumbers","3","2 medium English cucumbers, coarsely chopped"
"cup mushrooms","3","1 cup sliced mushrooms"
"for the dressing:","3","For the dressing:"
"for the salad:","3","For the salad:"
"mini cucumbers","3","4 mini cucumbers (sliced - see notes)"
"-3 radishes","3","2-3  radishes (diced)"
"green onions, )","3","2  green onions, (trimmed and chopped (both white and green parts))"
"cup cucumbers","3","⅓ Cup Cucumbers"
"cup green peas","3","¾ cup frozen green peas, thawed"
"spring onions","3","4  spring onions (scallions)"
"cup radishes","3","1/2 cup thinly sliced radishes (about 5)"
"teaspoon fenugreek leaves","3","2 teaspoon dried fenugreek leaves (kasoori methi)"
"onions )","3","1½ cups (150 grams)  onions  ((fine chopped, 1x - 1 large or 2 medium))"
"green chilli )","3","1  green chilli ((optional))"
"-2 jalapeños","3","1 -2   jalapeños"
"cup pico de gallo","3","½  cup pico de gallo"
"star anise","3","1  star anise"
"-2 jalapeños, if desired","3","1-2  jalapeños, seeded if desired, and chopped"
"tbsp. taco seasoning )","3","2 Tbsp. taco seasoning ((I use Siete brand))"
"jalapeño, if desired","3","1  jalapeño, seeded if desired, and chopped"
"bunch scallions","3","1 bunch scallions"
"cup taco seasoning","3","¼ cup Taco Seasoning"
"water )","3","1 1/4 cups water ((cold tap water))"
"herbs","2","Fresh herbs (such as chives or parsley, for garnish)"
"oz baby bella mushrooms","2","8 oz sliced baby Bella mushrooms"
"pound tomatillos, husked","2","1 pound tomatillos, husked and halved"
"chives, for garnish","2","chopped chives, for garnish"
"cup ice water","2","¼ cup ice water"
"tbsp harissa paste","2","2 tbsp harissa paste (I use rose harissa)"
"pound","2","1 pound boneless, (skinless chicken breasts)"
"-3 tablespoons water, to the dressing","2","2-3 tablespoons warm water, to thin the dressing"
"to garnish:","2","To garnish:"
"ounce can green chilies","2","1  4.24 ounce can chopped green chilies"
"sweet potatoes )","2","4 medium sweet potatoes  (, peeled and cut into thin sticks (about 1/4&quot; x 3&quot;))"
"-ingredient mediterranean salad, )","2","3-Ingredient Mediterranean salad,  ((or sliced tomatoes and cucumbers, and chopped parsley) )"
"filtered water","2","3 cups filtered water"
"tbsp. adobo sauce","2","1 Tbsp. adobo sauce (from canned chipotle chiles in adobo)"
"jalapeño, seeds ribs removed","2","1/2  jalapeño, seeds and ribs removed"
"for the potatoes:","2","For the potatoes:"
