ingredient,issue,raw_example,usda_candidates,your_correction
lemongrass,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded","1  lemongrass stalk, cut into pieces and lightly smashed","[SR Legacy] SMART SOUP, Vietnamese Carrot Lemongrass (fdcId: 171184) | [Branded] LEMONGRASS CHICKEN, LEMONGRASS (fdcId: 2160528) | [Branded] SODA, LEMONGRASS, LEMONGRASS (fdcId: 2084173)",
kasuri methi,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",1 tablespoon kasuri methi,[Branded] FENUGREEK SEEDS (METHI) (fdcId: 2170716) | [Branded] PEACOCK KASOORI METHI (fdcId: 1132357),
sichuan peppercorns,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded","1/2-2 teaspoons Sichuan peppercorns or red pepper flakes, use to your taste","[SR Legacy] Salad dressing, peppercorn dressing, commercial, regular (fdcId: 168093) | [SR Legacy] HORMEL ALWAYS TENDER, Pork Tenderloin, Peppercorn-Flavored (fdcId: 168317) | [Branded] SPICY SICHUAN TOFU, SPICY SICHUAN (fdcId: 2397539) | [Branded] SICHUAN DANDAN NOODLES, SICHUAN DANDAN (fdcId: 2374973)",
dried pasta,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",16 ounces dried pasta of choice,"[SR Legacy] Litchis, dried (fdcId: 169087) | [SR Legacy] Longans, dried (fdcId: 169907) | [Foundation] Egg, white, dried (fdcId: 323793) | [Foundation] Egg, whole, dried (fdcId: 329490) | [FNDDS] Peach, dried (fdcId: 2709207) | [FNDDS] Prune, dried (fdcId: 2709211)",
fresh sage,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",2 teaspoons chopped fresh sage,"[SR Legacy] Spices, sage, ground (fdcId: 170935) | [SR Legacy] Sage Valley, Gluten Free Vanilla Sandwich Cookies (fdcId: 168007) | [Foundation] Corn, sweet, yellow and white kernels,  fresh, raw (fdcId: 2710826) | [Branded] SAGE FRESH GROUND SAUSAGE (fdcId: 2616299) | [Branded] SAGE SAUSAGE, SAGE (fdcId: 2485149)",
curry leaves,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",1  bay leaf ( or 1 sprig curry leaves or both),"[SR Legacy] Drumstick leaves, raw (fdcId: 168416) | [SR Legacy] Amaranth leaves, raw (fdcId: 168385) | [Branded] KERALA COCONUT CURRY SPROUTED & SLODRY SPICY PILI NUTS WITH COCONUT & CURRY LEAVES, KERALA COCONUT CURRY (fdcId: 2268206) | [Branded] KERALA COCONUT CURRY SPROUTED & SLODRY SPICY PILI NUTS WITH COCONUT & CURRY LEAVES, KERALA COCONUT CURRY (fdcId: 2651821)",
pepper flakes,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded","Pepper flakes, vegan parmesan, chopped herbs (like basil or parsley)","[SR Legacy] Onions, dehydrated flakes (fdcId: 170002) | [SR Legacy] Breakfast bar, corn flake crust with fruit (fdcId: 167734) | [Foundation] Peppers, bell, green, raw (fdcId: 2258588) | [Foundation] Peppers, bell, orange, raw (fdcId: 2258591) | [Branded] PICKLED BABY CORN WITH RED PEPPER FLAKES, PICKLED WITH RED PEPPER FLAKES (fdcId: 2495177) | [Branded] COARSE BLACK PEPPER & FLAKE SALT SEASONING (fdcId: 2566857)",
sambal oelek,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",2 tablespoons sambal oelek or gochujang,"[Branded] SAMBAL OELEK (fdcId: 2016176) | [Branded] CHNG KEE'S, SAMBAL OELEK (fdcId: 2032351)",
boiled rice,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",boiled rice,"[SR Legacy] Chicken, feet, boiled (fdcId: 171119) | [SR Legacy] Plantains, green, boiled (fdcId: 168216) | [Foundation] Kale, frozen, cooked, boiled, drained, without salt (fdcId: 326196) | [Foundation] Flour, rice, brown (fdcId: 1104812) | [FNDDS] Peanuts, boiled (fdcId: 2707513) | [FNDDS] Clams, steamed or boiled (fdcId: 2706342)",
microgreens,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",Microgreens (optional),[Branded] MICROGREENS SUNFLOWER (fdcId: 2463379) | [Branded] MICROGREENS ARUGULA (fdcId: 2480841),
rocket,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",60 g (2 oz) rocket,"[Branded] ROCKET POP ENERGY DRINK, ROCKET POP (fdcId: 2551025) | [Branded] ROCKET CAKES PANCAKE & WAFFLE BATTER, ROCKET CAKES (fdcId: 2276820)",
fresh oregano,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",1/2 cup fresh oregano (chopped OR 1 tablespoon dried oregano),"[SR Legacy] Spices, oregano, dried (fdcId: 171328) | [SR Legacy] Basil, fresh (fdcId: 172232) | [Foundation] Corn, sweet, yellow and white kernels,  fresh, raw (fdcId: 2710826) | [FNDDS] Coconut, fresh (fdcId: 2707500) | [FNDDS] Tomatoes, fresh, cooked (fdcId: 2709721) | [Branded] TRADITIONAL TOMATO SAUCE WITH FRESH OREGANO (fdcId: 723442)",
chile powder,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",1 teaspoon chile powder,"[SR Legacy] Baobab powder (fdcId: 167806) | [SR Legacy] Sugars, powdered (fdcId: 169656) | [FNDDS] Chiles rellenos, cheese-filled (fdcId: 2710043) | [FNDDS] Nutritional powder mix (EAS Soy Protein Powder) (fdcId: 2710732) | [Branded] CHILE POWDER (fdcId: 2508277) | [Branded] HOT CHILE POWDER, HOT CHILE (fdcId: 2642752)",
sambal olek,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",2 tablespoons sriracha (or sambal olek) Adjust to taste- start with less if you like less spice.,"[Branded] SAMBAL AIOLI, SAMBAL (fdcId: 2418965) | [Branded] SAMBAL OELEK (fdcId: 2016176)",
italian seasoning blend,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",1 tsp Italian seasoning blend,"[SR Legacy] Bread, Italian (fdcId: 174913) | [SR Legacy] Salami, Italian, pork (fdcId: 174603) | [Foundation] Sausage, Italian, pork, mild, cooked, pan-fried (fdcId: 746780) | [Branded] ITALIAN SEASONING BLEND (fdcId: 2315529) | [Branded] ITALIAN SEASONING BLEND (fdcId: 2033993)",
