Recipe Title,URL,Blogger Name,Alignment Score,Meal Type,Cuisine Style,Rating,Notes
Carne Asada Tacos,https://www.acozykitchen.com/carne-asada-tacos,A Cozy Kitchen,97,Entree,Latin/South American,5.0 (6 ratings),"Skirt steak marinated in lime, spices & garlic; cross-protein swap potential"
Ground Beef Tacos,https://www.acozykitchen.com/ground-beef-tacos,A Cozy Kitchen,97,Entree,Latin/South American,5.0 (6 ratings),Homemade crunchy taco shells; easy weeknight
Enchilada Chicken Tortilla Soup,https://www.acozykitchen.com/enchilada-chicken-tortilla-soup,A Cozy Kitchen,97,Entree,Latin/South American,5.0 (2 ratings),One-pot; topped with crispy tortilla strips
One-Pan Chicken Orzo,https://www.acozykitchen.com/one-pan-chicken-orzo,A Cozy Kitchen,97,Entree,American,4.7 (27 ratings),"Lemon flavored, spinach & parmesan; under 30 min"
Chicken Fajitas with Tomatillo Guacamole,https://www.acozykitchen.com/chicken-fajitas-guacamole,A Cozy Kitchen,97,Entree,Latin/South American,1 (0 ratings),Peppers & onions; guacamole variant
Birria Ramen,https://www.acozykitchen.com/birria-ramen,A Cozy Kitchen,97,Entree,Latin/South American,5.0 (1 rating),Mexican-Japanese fusion; beef birria in ramen broth
Hot Honey Buffalo Chicken Tenders,https://www.acozykitchen.com/hot-honey-buffalo-chicken-tenders,A Cozy Kitchen,97,Entree,American,1 (0 ratings),Cornflake crust; baked not fried
Pastina,https://www.acozykitchen.com/pastina,A Cozy Kitchen,97,Entree,Italian,5.0 (3 ratings),5-ingredient Italian comfort food; vegetarian
Lemon Pepper Wings,https://www.acozykitchen.com/lemon-pepper-wings,A Cozy Kitchen,97,Entree,American,3.6 (73 ratings),Crispy baked; buttery lemon sauce
Spicy Miso Ramen,https://dishingouthealth.com/spicy-miso-ramen/,Dishing Out Health,95,Entree,Asian,4.95 (123 ratings),"Umami-rich broth, shiitake mushrooms; vegetarian adaptable"
One Pan Moroccan Chicken and Chickpeas,https://dishingouthealth.com/moroccan-chicken-and-chickpeas/,Dishing Out Health,93,Entree,Middle Eastern,5.0 (27 ratings),One-pan; spiced chicken thighs with chickpeas
Chickpea and Rice Soup,https://dishingouthealth.com/chickpea-and-rice-soup/,Dishing Out Health,93,Entree,Middle Eastern,5.0 (30 ratings),"Hearty, vegetarian"
Tuscan Turkey and White Bean Skillet,https://dishingouthealth.com/tuscan-turkey-and-white-bean-skillet/,Dishing Out Health,93,Entree,Italian,5.0 (25 ratings),One-pan; high protein & fiber
