parsed_name,recipes_affected,total_occurrences,example_raw_strings
sort of flatbread or couscous or rice,1,1,"some sort of flatbread or couscous or rice, for serving"
other,1,1,"other fresh, for garnish"
a,1,1,a scant
/,1,1,/ or cilantro
any combination of kimchi,1,1,"112 g Any combination of kimchi, to serve"
julienne,1,1,1 inch julienne pieces
cooked salmon,1,1,"2 cups flaked, cooked salmon"
extra fresh dill,1,1,"8 oz Extra chopped fresh dill, to garnish"
pasta- acini de pepe,1,1,1/2 cup small pasta- acini de pepe
lettuce/cabbage,1,1,"1 1/2 cups lettuce/cabbage, to serve"
handful pea shoots,1,1,"4 oz handful fresh pea shoots, to garnish"
