Category,Recipe,Protocol,Ingredient Searched,Reason,Caution Products Found,URL
no_product_found,Best Grilled Chicken,AIP,italian blend herbs,"Italian blend herbs and Herbs de Provence ingredients vary by brand and may contain seed-based spices (cumin, fennel seeds) which are AIP-excluded. Without specific brand clarification, cannot guarantee compliance.",,https://www.lecremedelacrumb.com/best-healthy-grilled-chicken
no_product_found,Parmesan Herb Roasted Acorn Squash,AIP,dried herbs,"Garlic powder is technically AIP-compliant, but dried herbs (basil, oregano, thyme) may contain problematic seed material depending on sourcing. This creates uncertainty about the modification's accuracy.",,https://downshiftology.com/recipes/parmesan-herb-roasted-acorn-squash
skipped,Chuck Roast with Au Jus,DF,,"The side dish is titled 'Dairy-Free Mashed Sweet Potatoes,' which suggests the recipe already accounts for DF preparation. However, without the full ingredient list for the potatoes, it's unclear if any dairy is actually present in that component. The roast itself contains no dairy.",,https://oliviaadriance.com/chuck-roast-with-au-jus/#wprm-recipe-container-3612
skipped,Creamy Chicken Orzo,DF,,"Recipe title is 'Creamy Chicken Orzo' but ingredient list shows no cream, butter, or dairy products. This is unusual—either cream/butter is missing from the ingredient list, or the recipe is mislabeled. Cannot confidently mod without knowing the actual preparation method. If cream is added during cooking (not listed), DF mod would require replacing with coconut milk, but this is speculative.",,https://themodernproper.com/creamy-chicken-orzo
skipped,How To Make Homemade Croutons,DF,,"Olive oil is inherently dairy-free, so this recipe is already DF-compliant as written. Marking uncertain because the instruction to 'replace' oil is unnecessary—no modification needed. Should be native=true.",,https://www.gimmesomeoven.com/how-to-make-homemade-croutons
skipped,Salmon with Whole Lemon Dressing,DF,,"The recipe calls for 'butter or Little Gem lettuce'—butter lettuce is a variety of leafy green with no dairy content. The name is descriptive of the soft, buttery texture of the leaves, not an ingredient containing dairy. This is natively DF. However, the phrasing 'butter lettuce' may cause confusion in analysis. Marking uncertain to flag this potential ambiguity, though the recipe is almost certainly natively DF as written.",,https://www.alisoneroman.com/recipes/salmon-with-whole-lemon-dressing
skipped,Spicy Shrimp Tacos with Garlic Cilantro Lime Slaw,GF,,"Recipe says 'corn or flour' tortillas. If preparer chooses corn, native=true. If flour is chosen, simple swap to corn fixes it. Marking uncertain because tortilla choice is ambiguous.",,https://pinchofyum.com/spicy-shrimp-tacos-with-garlic-cilantro-lime-slaw
skipped,Thai Sticky Rice,GF,,"Thai sticky rice (glutinous rice) is naturally gluten-free, but the term 'glutinous' refers to the starch content, not gluten protein. Rice itself contains no gluten. However, the recipe is so minimal that I cannot verify if there are any processing or contamination issues with the specific brand/source. Standard assumption: sticky rice IS gluten-free, but marking uncertain due to the confusing terminology and lack of brand specificity.",,https://thaicaliente.com/easy-thai-sticky-rice/#recipe
skipped,Chicken Tacos,K,,Ancho chili powder and paprika carb content not precisely quantified; small amounts are typically keto-acceptable but depends on portion size. Conservative approach: proceed with shell/sauce swaps and monitor spice quantities.,,https://www.onceuponachef.com/recipes/chicken-tacos.html
grey_area,Crunchy Brussels Sprout Salad,K,maple syrup,"The candied pecans recipe uses maple syrup (high-carb). If these are made with allulose instead, they are keto-compliant. Also uncertain whether the user has access to keto-sweetened candied pecans or will make them from scratch.",Taste Of Inspirations Elderberry Infused Maple Syrup | Taste Of Inspirations Private Reserve Pure Maple Syrup | Highland Sugarworks Medium Amber Maple Syrup,https://www.acozykitchen.com/crunchy-brussels-sprout-salad
no_product_found,Easy Baked Salmon Sushi Cups,K,sweet chili jam,Sweet chili jam carb content depends on brand/recipe; uncertainty on whether modification adequately addresses this core flavoring ingredient.,,https://dishedbykate.com/easy-baked-salmon-sushi-cups
no_product_found,Gluten-Free Pasta Salad with Chicken & Roasted Shallot Vinaigrette,K,roasted shallot vinaigrette,"The roasted shallot vinaigrette ingredients are not fully specified. If it contains honey, sugar, or high-carb elements, those would need modification. Assuming standard vinaigrette (oil, vinegar, shallots), the swap is valid, but the hidden vinaigrette formula creates uncertainty.",,https://oliviaadriance.com/chicken-veggie-pasta-salad
grey_area,Greek Yogurt Cucumber Salad,K,greek yogurt,Greek yogurt contains ~9g carbs per 1/2 cup (borderline for strict keto depending on daily allowance). The recipe as written is not strictly keto-compliant but may work in moderate keto contexts. Offering modification for stricter adherence.,Dannon Light & Fit Variety Non Fat Greek Yogurt | Plain Unsweetened Almond Milk Greek Yogurt | Esti Plain Whole Milk Greek Yogurt | Kalypso Grass Fed Greek Yogurt Natural Plain 0% | Kalypso Grass Fed Greek Yogurt Strawberry,https://foolproofliving.com/creamy-cucumber-salad/#wprm-recipe-container-19850
